,title,company,salary,summary
34,Full Stack Programmer,MassMutual,Estimated $88.7K – $112K a year,"0+ years of experience as a developer.Your job will require you to work closely with your fellow technology team members, to coordinate with QA resources, and…"
35,newSoftware Engineer I,Cox Automotive,,"The Software Engineer writes and maintains code within applications and systems to implement capabilities and features, improve performance and maintainability,…"
36,Python (Django/Flask) Developer,Trood,Estimated $114K – $144K a year,"Professional knowledge of Python, Django, or Flask;The ability to learn and improve skills;Good acceptance of criticism and willingness to discuss your code;"
37,Software Engineer,DataDog,Estimated $109K – $139K a year,"Students can sign up anytime for a free Datadog Pro account!Whether you are writing a new integration, building data pipelines, or working with the open source…"
38,JPC - 671 - VueJS Developer or Python Developer,Promantis Inc,Estimated $100K – $127K a year,At least three years of JavaScript development experience (vueJS preferable).At least three years of Python/Flask experience.Experience in HTML5 and CSS.
39,UI Developer,Virtu Financial,Estimated $113K – $143K a year,"Members of this team collaborate closely with traders and other developers to gather and understand needs, and implement real-time trading, visualization,…"
40,Operations Python Developer,Hudson River Trading,Estimated $94.3K – $119K a year,Algorithmic strategy evaluation and management.Write deployment and monitoring systems (everything from the backend processes to the user-visible desktop GUIs)…
41,Python server and UI Developer - Software Engineer III,Bank of America,,"Candidate will have strong design, problem solving and coding skills.Experience in UI development (MVC) is a plus.Basic knowledge of derivatives is a plus."
42,Software Developer,Pariveda Solutions,,"As a Pariveda Consultant, you will work on small teams, collaborating with other Pariveda employees while partnering with clients to implement real-world…"
43,ServiceNow Platform Developer-Low Code/No Code (Consultant),Deloitte,Estimated $79.9K – $101K a year,Ability to collaborate with others and work in a team environment (possibly remote) including analysts / developers / configurators / testers.
44,Full-Stack Developer,Theodo,Estimated $101K – $129K a year,Full Stack Developer: Web and Mobile Apps.You’ll develop web and mobile apps for industry leaders and new disrupters.Bachelor’s degree in a STEM discipline.
45,newMOBILE DEVELOPER FOR THE MONBABY WEARABLE AND APP,Monbaby,,"Knowledge of high level programming and scripting languages, such as python, perl or matlab.You must have extensive experience working with Bluetooth Low…"
46,Junior C++ Developer - Multiple Openings,GTS,,"You will have the opportunity to work on various aspects of our technology including developing and optimizing our trading platform, utilizing low level…"
47,Python Developer – Systematic Infrastructure,Balyasny,,"Working collaboratively with senior research analysts and quantitative researchers to build tools, automate process, relentlessly improve system."
48,Quantitative Developer – Analyst,Citi,,The team works closely with Risk technology and the RMA analytical model teams to leverage big-data modelling and solutions to complement the core modelling…
49,Quantitative Developer,Citi,,"XiNG is a Global Markets-wide project to re-engineer the systems that use MQA's Quant libraries to compute risk, PAA, xVA, perform stress testing, etc., by…"
50,Python Developer - Credit Analytics - Associate/ Vice Presid...,Pretium,,"Python skills: Strong grasp of object oriented, functional, and procedural programming concepts; 3-8 years of python coding experience."
51,Software Development Engineer - Same Day Delivery,Science Solutions LLC,,Bachelor’s degree in Computer Science or equivalent.1 year of professional software development experience.We will be solving some of the broadest distributed…
52,Software Developer,Barclays,,Ability to work with global team of developer and communicate / collaborate effectively.The candidate will join a team responsible for managing and developing…
53,Experienced Python/Django Contractor,stackbuilders,,You will be working 100% remotely as part of a small team on a very interesting web app project with one of our long-term clients.
54,newSoftware QA Engineer Apple TV. Apple Media Products.,Apple,,"These engineers build secure, end-to-end solutions.They develop the custom software used to process all the creative work, the tools that providers use to…"
55,newLead Database Developer,impakt Advisors,,"Proven work experience as a Database developer.Liaise with developers to improve applications and establish best practices.Expertise SQL, Python, and AWS."
56,Python Developer,Deloitte,,"As an experienced Python Developer, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…"
57,NodeJS Developer -- NYC,Tektree,,Good exp in NodeJS and Vue.Python and PySpark plus experience with Pandas and Matplotlib.Nice to have: Experience with Dash and Plotly.
58,JPC - 671 - VueJS Developer or Python Developer,Promantis Inc,,At least three years of JavaScript development experience (vueJS preferable).At least three years of Python/Flask experience.Experience in HTML5 and CSS.
59,Python (Django/Flask) Developer,Trood,,"Professional knowledge of Python, Django, or Flask;The ability to learn and improve skills;Good acceptance of criticism and willingness to discuss your code;"
60,SIEM Application Developer,"JPMorgan Chase Bank, N.A.",Estimated $99K – $125K a year,"Your research and work will ensure stability, capacity and resiliency of our products.Working with your internal team, as well as technologists and innovators…"
61,"Quantitative Developer, Corporate Vice President",New York Life Insurance Co,Estimated $120K – $152K a year,Serve as the quantitative developer for the company’s proprietary asset projection system to build new capabilities and maintain existing code infrastructure.
62,Quantitative Developer – Algorithmic Trading,Morgan Stanley,Estimated $112K – $141K a year,"Operating knowledge of python and KDB is preferable, but not required.5+ years of experience as a developer, desk strategist or quant."
63,Python (Django/Flask) Developer,Trood,Estimated $114K – $144K a year,"Professional knowledge of Python, Django, or Flask;The ability to learn and improve skills;Good acceptance of criticism and willingness to discuss your code;"
64,C++ Developer - Associate,Morgan Stanley,Estimated $114K – $145K a year,"Position involves development and support of global front-office global counterparty risk management system, CVA Trader, the primary tool for CVA trading desk…"
65,Senior Python Developer,Morgan Stanley,Estimated $115K – $146K a year,"You will work closely with sales, trading and strats on multiple trading desks to design, develop, deploy and support an innovative risk analytics & data…"
66,Backend Software Development Engineer (All Levels) - Marketi...,Salesforce,,Marketing Cloud teams build software that enables customers to manage their digital marketing presence at scale.Experience with Agile development methodology.
67,DevOps Engineer (NY)-TikTok,TikTok,Estimated $124K – $157K a year,"Create, manage and integrate software to automate and secure public cloud environments;Develop solutions that can support large capacity and scale reliability…"
68,Associate,Morgan Stanley,Estimated $103K – $130K a year,Work within Financial Advisors Platform group whose responsibilities include business process re-engineering and development of document processing applications…
69,Senior Developer (Python) - Capital Markets - Vice President,Sumitomo Mitsui Banking Corporation,Estimated $126K – $160K a year,Take part as one of the developers to help build / map in middleware/ETL space.The developer will liaise with SME's directly and is responsible for end to end…
70,newSoftware Engineer I,Cox Automotive,,"The Software Engineer writes and maintains code within applications and systems to implement capabilities and features, improve performance and maintainability,…"
71,Front Office Application Support (DevOps),"JPMorgan Chase Bank, N.A.",Estimated $70.7K – $89.5K a year,"Athena is designed to provide a continuous deployment environment, and pull developers close to the business to help increase revenues, while improving…"
72,Machine Learning Engineer - Opportunity for Working Remotely...,VMware,Estimated $109K – $138K a year,"We also actively participate in internally facing ML community activities, all aimed at increasing the maturity of VMware’s ML best practices."
73,Python Developer - Core Infrastructure,Hudson River Trading,Estimated $127K – $161K a year,"We use C++ for anything latency sensitive that sits on the critical trading path, and we use Python for everything else."
74,newPython Developer – Risk Technology,Sumitomo Mitsui Banking Corporation,Estimated $113K – $143K a year,"Here you will work closely with our Risk Department stakeholders to build out our strategic data sourcing, datamart, analytics and reporting frameworks."
