,Unnamed: 0,title,company,salary,summary,location
18,18,Avaya Orchestration Designer,Conduent,,"Have in-depth knowledge of open architectures including VXML, CCXML, GRXML.Experience with Avaya Experience portal.",
19,19,Associate Systems Engineer,IBM,,"The IBM Services Associates program puts you on client-facing teams as consultants, developers, designers, data scientists, technical specialists and project…",
20,20,Graphic Designer,Crediwatch,,"We are looking for a graphic designer to lead and manage the design requirements across all teams comprising the product, sales, marketing, HR and management.",
21,21,User Experience Designer,Motorola Solutions,,"6+ years of experience in product design, service design, or a related field.A stunning portfolio that shows the powerful craft and collaborative process.",
22,22,AMTS Verification Engineering,Rambus,,"Work with architects, designers and post-silicon teams.From data center and edge to artificial intelligence and automotive, our interface and security IP, and…",
23,23,product manager - platforms - home page,CRED,,"Work with designers, engineers, marketing and partnerships to deliver products.Own the home page experience and recommend the best experience for a user by…",
24,24,Graphic Designer,Ibhaan Digital Edge Advance Solutions Pvt. Ltd.,,"We are looking for a highly creative graphic designer who can take conceptual ideas and create visual representations, both in print and electronic media.",
25,25,PLC Engineer,AceMicromatic Manufacturing Intelligence...,,Good knowledge of PLC programming Schneider SCU8A5 and variants using SoMachine and Vijeo designer.O Requirements: Study and understand project level…,
26,26,Oracle Argus Application Designer,Accenture,,"Key Responsibilities : To be accountable for providing safety ad-hoc reporting outputs to safety community, ie People involved in pharmacovigilance, compliance…",
27,27,CN - Strategy - ACE - CS&S - Genesys - 07,Accenture,,"Potential to Co-create with leaders in strategy, industry experts, enterprise function practitioners and, business intelligence professionals to shape and…",
28,28,Test Analyst,Cardinal Health,,"Work closely with product owners and user experience designers to ensure clear definition of all enhancements and bugs, translating them to requirements, use…",
29,29,Business Analyst,Cardinal Health,,"Augmented Intelligence (augIntel) builds automation, analytics and artificial intelligence solutions that drive success for Cardinal Health by creating material…",
30,30,Tableau Admin/Designer/Developer,GLOINNT,,5+ years in the data warehousing and Business Intelligence solution implementations.Strong experience of design/development of Tableau visualization solutions.,
31,31,"Manager, Product Management - Driver Quality",GO-JEK,,"You will also work closely and inspire designers, data scientists, user researchers and teams across Gojek to craft beautifully simple solutions.",
32,32,newPython Developer,Helix Tech Pvt. Ltd.,,You enjoy collaborating with product designers and software test engineers to create seamless digital experiences.Depending on your technology stack.,
33,33,Systems Associate,Athenahealth,,"Build, test, and support data extractions from Workday to feed the corporate data lake for business intelligence and reporting.Bachelor’s Degree or equivalent.",
34,34,Software Developer,IBM,,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",
35,35,DX/UX Researcher,Intel,,"The candidate will also collaborate closely with internal and external teams of UX designers, solution architects, and product owners to establish conceptual…",
36,36,Senior Product Manager - Ads Personalization & Recommendatio...,GO-JEK,,Work with our business intelligence and analytics team to design and implement experiments that will help shape the product portfolio.,
37,37,Product Designer,cloudsek,,"XVigil - Our SaaS-based product XVigil, helps clients assess security in real-time from the perspective of an attacker, 24 hours a day, seven days a week.",
38,38,newWorkday Functional Consultant,NTT DATA,,Provide support on Workday Human Resources application.Engage with business users to gather and document requirements.Nice to Have; (But not a must).,
39,39,newQuality Business Intelligence / Analytics Developer,Continental,,"Design and program of innovative data verse / data models and implementation of functions for data selection, cleaning and processing.",
40,40,PE Logic Design,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
41,41,Product Designer,sybill,,"Sybill (https://www.sybill.ai) is an early-stage enterprise startup backed by top VC's, building AI-based emotional intelligence for video meetings.",
42,42,Instructional Designer,Automation Anywhere,,"Automation Anywhere is a global leader in Robotic Process Automation (RPA), empowering customers to automate business processes with intelligent software bots –…",
43,43,Sr Mgr Analog Engineering,Rambus,,"Mentoring of junior designers where applicable.From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory…",
44,44,newLead MTS Verification Engineering,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
45,45,Data Assistant,TalentBee,,"Outstanding communication skills and ability to work seamlessly as part of a diverse team including designers, analysts, and educators from India and overseas.",
46,46,AMTS Physical Design,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
47,47,Technical Consultant - Adobe Campaign,Adobe,,"For designers, developers, and online marketers, an integrated workflow - with optimization capabilities embedded in the creation tools - will streamline the…",
48,48,MTS Systems Engineering,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
49,49,newAnalyst-Product Development,Amex,,Own end-to-end AI/ML product capabilities and drive their developments with a team of world-class engineers and designers.,
50,50,Solution Architect,IBM,,"Hands on experience on Maximo configurations using application designer, database configuration, automation scripts, workflow configuration, conditional…",
51,51,AMTS DFT,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
52,52,"Designer, SW",NOKIA,,"Core java basics (java fundamental data types, inheritance, composition, polymorphism concepts, file handling, collections, good programming skills in applying…",
53,53,Content Marketing Specialist,Analyttica Datalab Private Limited,,Create or collaborate with designers for images/graphics.Comprises of each professional with 15+ years of experience and strong credibility to their names.,
54,54,newLogic Design Engineer,IBM,,"To think along with clients and sell.As a Logic Designer, you will be responsible for E2E development of features with impact to our Mainframe and / or POWER…",
55,55,Data Ingestion Manager,Schneider Electric,,"Proven track record as an ETL Architect, leading development teams to deliver successful business intelligence solutions with complex data sources.",
56,56,Mendix Frontend Developer (m/f/d),Siemens,,A designer that is willing to understand the working principle of Mendix and is capable of programming is own ideas.,
57,57,Lead Product Owner,TARGET,,This product would provide intelligence to other ATP fulfilment products to lower overall fulfilment cost and improve guest experience.,
58,58,MuleSoft Developer,MuleSoft Developer,,"RAML specifications/build experience with Mule soft utilizing Mule features like Data weave, API designer, and various connectors to ensure robust and loosely…",
59,59,Senior Product Designer,GSK,,"We are looking for a detail-oriented, tech-savvy Product Designer with an understanding of product design and systems design, who is equipped to collaborate…",
60,60,Experienced Analog & Mixed-Signal Design Engineer,Cyient,,Shares design experiences with co-developers and/or other designers of the company.Designs advanced analog and mixed-signal integrated building blocks for RF…,
61,61,UX Designer,ADCI - Karnataka,,"Going deep on consumer insights, product analytics, and competitive intelligence to identify unseen opportunities, and drive product & experience innovation.",
62,62,"R&D Engineer, II",Synopsys,,"The Digital sensor designer will conceptualize new sensor products as well as understand existing products and enhance them for better performance, automation…",
63,63,Business Intelligence-ETO-SPARC-Bengaluru,Goldman Sachs,,"Coach developer, designer and product team members in Agile practices, values and principles.Enterprise Technology Operations (ETO) is a Technology Business…",
64,64,Senior Data Analyst,99GAMES,,"Work closely with game designers, developers, artists, marketing and support teams to reach a common goal.In this role, you will profile, define, and catalogue…",
65,65,Senior Manager,Micron,,"In this position, you will collaborate with Micron’s various design and verification teams all over the world and support the efforts of groups such as Product…",
66,66,Graphic Designer,Kaseya,,"Kaseya is looking for an experienced Graphic Designer who can work across different design disciplines, brands, and regions.Uses feedback to modify designs.",
67,67,"Business Intelligence Engineer, GAP",ASSPL - Karnataka,,7+ years of experience as Business Analyst or business intelligence engineer dealing with large complex data.Expert in data pipelining and extraction using SQL…,
68,68,Data Scientist - Logistics,GO-JEK,,"In this role, you will get to mine insights from the sea of data, build data products, and design experiments with the ability to see the real-time impact of…",
69,69,Developer Experience Researcher,Intel,,You must be hands-on and have the needed mix of UX skills and leadership qualities to enroll your technical colleagues in pursuing developer experience…,
70,70,Group Product Manager,KeepTruckin,,"As a Group product manager, you will partner closely with other product managers, designers, engineers, and stakeholders to make our vision a reality.",
71,71,"Senior UX Designer, Google Cloud",Google,,"Bachelor's degree in Design, related field, or equivalent practical experience.8 years of experience in UX Design.Facilitate and implement UX design.",
72,72,Manager Systems,Lam Research,,"Develops the system engineering practices and works collaboratively with leadership, SMEs to develop the capability to support the equipment intelligence and…",
73,73,Assistant Manager - Alteryx,Genpact,,We are looking for a Database developer who would be responsible to lead business intelligence and analytics projects for a life sciences account.,
74,74,PE Systems Engineering,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
75,75,UX Designer,IBM,,"The UX designer helps the development teams to internalize the user journeys, intent, emotions, pain points and success criteria.",
76,76,Product Manager 1,Intuit,,"Work with a team of talented team of marketers, designers, engineers, analysts and datascientists to lead products across Financial Planning, Business…",
77,77,Data Associate,TalentBee,,"Outstanding communication skills and ability to work seamlessly as part of a diverse team including designers, analysts, and educators from India and overseas.",
78,78,Maximo Functional Consultant,IBM,,"Hands on experience on Maximo configurations using application designer, database configuration, automation scripts, workflow configuration, conditional…",
79,79,Python Engineer,Deloitte,,"Collaborate with UX/UI designers to implement design into the code.Eager to work with fellow developers, user experience designers, and product owners.",
80,80,Mgr Modeling,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
81,81,Manager - Alteryx,Genpact,,We are looking for a Database developer who would be responsible to lead business intelligence and analytics projects for a life sciences account.,
82,82,Engineering Manager - Backend View Jobs,Swiggy,,"Swiggy's StoreFront Engineering team helps customers enjoy personalized discovery and purchase experience across multiple product lines (Stores, Food, Genie and…",
83,83,UX Writer,Hubilo Technologies,,"Use data, research, and insights from the team to drive content initiatives.Manage multiple demands and deliver high-quality work to deadlines.",
84,84,Software Engineer II,Microsoft,,"Azure Storage is a critical infrastructure platform at Microsoft, used by developers around the world to store all types of data for internal and external…",
85,85,Senior Game Designer,GSN Games,,"Lead a small team of game designers, providing them feedback and lending your expertise.Gather competitive intelligence and research trends, insights, and best…",
86,86,Product Manager,Enquero Inc,,Interact with UI/UX designers in effectively enhancing usability and creating ready-for-development mock-ups.~5 years as Product Manager / Sr. Business Analyst…,
87,87,Senior Manager - Design,Glance,,"Oversee the core design vision and implementation, working directly with designers, product managers, engineers, marketing experts and video designers.",
88,88,Software Engineering,"JPMorgan Chase Bank, N.A.",,"As part of the AWM Credit MIS Technology group, this role will be responsible for developing KPIs, KCIs, OKRs, reports and visualizations in dashboards using…",
89,89,SMTS Logic Design,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
90,90,SMTS Logic Design,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
91,91,Technical Writer,Tookitaki,,Study product samples and talk with product designers and developers.Opportunity to work with an award-winning organization in the hottest space in tech –…,
92,92,ServiceNow - Technical Consultant,Siemens Healthcare Private Limited,,"Must have strong knowledge and expertise in building workflows, flow designer, & implement orchestration using Integration Hub or other OOB ServiceNow plugins…",
93,93,Solution Engineer,Kimberly-Clark,,"Keeps abreast of leading trends in digital, cloud, artificial intelligence, machine learning, block chain, virtual reality, augmented reality and combinations…",
94,94,SMTS Physical Design,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
95,95,Full-Stack Developer,sybill,,Build intuitive and powerful web applications and dashboards for customers to empower them with emotional intelligence during their video meetings.,
96,96,Application Consultant: ServiceNow,IBM,,"At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain.Designing end to end solutions in ServiceNow.",
97,97,Product Marketing Specialist,Mantra Labs,,"2+ years of relevant work experience or education in SaaS, strategy consulting or field-facing competitive intelligence.The position is full-time.",
98,98,Hardware Developer,IBM,,"At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain.To think along with clients and sell.",
99,99,Art Director,Glance,,"1+ years' experience in managing a team and mentoring designers.You'll interact with a team of art directors, copywriters, video/motion designers and the…",
100,100,Verification Engineer - ASIC,NVIDIA,,"Work with HW architects and designers to make the right implementation choices.This position offers the opportunity to have real impact in a dynamic,…",
101,101,AMTS Software QA,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
102,102,"Product Manager, Google Cloud",Google,,"Our team works closely with creative and prolific engineers, designers, marketers, etc.Experience in one or more of the following: Cloud infrastructure,…",
103,103,SMTS Analog Engineering,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
104,104,User Experience Design Associate,SAP,,The team of designers and user researchers are responsible for designing solutions that promise to shape the future of emerging business applications.,
105,105,Principal Product Manager View Jobs,Swiggy,,You would help personalize the discovery experience on Swiggy by building intelligence-led products and tools.Bachelor’s or Master’s degree.,
106,106,"Business Intelligence Engineer, GSF IN Analytics",ASSPL - Karnataka,,You are designer of products and tools required for optimal business performance.7+ years of experience as Business Analyst or business intelligence engineer…,
107,107,"UX Design Lead, Education",Google,,"Collaborate with a team of designers, researchers, content strategists, engineers, and product managers to create a payment experience for Indian users.",
108,108,newMarketing & Branding Specialist,Aarav Unmanned Systems,,"Take lead on Market Research & Competitor Analysis and update market intelligence information.Mentor and lead a team of junior digital marketers, content…",
109,109,Semiconductor Safety Engineer,NVIDIA,,Collaborate with architects and designers to find optimal implementations of safety diagnostics in hardware and software.,
110,110,Sr Mgr DFT,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
111,111,Senior Data Scientist - Logistics,GO-JEK,,"In this role, you will get to mine insights from the sea of data, build data products, and design experiments with the ability to see the real-time impact of…",
112,112,AMTS Validation Engineering,Rambus,,"From data center and edge to artificial intelligence and automotive, our interface and security IP, and memory interface chips enable SoC and system designers…",
113,113,Associate Manager-Technology for Operations,Accenture,,"You will deliver breakthrough business outcomes for clients-by harnessing talent, data and intelligence to revolutionize their operating models.",
114,114,Team Lead/Consultant-Sales support and Service Management,Accenture,,"You will deliver breakthrough business outcomes for clients-by harnessing talent, data and intelligence to revolutionize their operating models.",
115,115,Engineering Manager,Stats Perform,,"Collaborate with designers, engineers, AI scientists, and Product Owners to deliver world-class solutions.Reports To (title): Senior Engineering Manager.",
116,116,Lead Product Manager - Ads & Promo Platform,GO-JEK,,Work with our business intelligence and analytics team to design and implement experiments that will help shape the product portfolio.,
117,117,Software Engineer / Senior Software Engineer,WeInvest,,"Working closely with analysts, designers and staff.Enormous data intelligence to be able to service and.WeInvest helps institutions deliver full-suite.",
118,118,Senior Analyst-Sales support and Service Management,Accenture,,"You will deliver breakthrough business outcomes for clients-by harnessing talent, data and intelligence to revolutionize their operating models.",
119,119,Principal Engineer - Design Verification,Cyient,,"Write a verification plan using random techniques and coverage analysis, and work with designers to ensure it is complete.Self-contained tracking of efforts.",
120,120,Senior Designer - Power Delivery Circuit Design,Micron,,We are looking for a Power delivery circuit designer to be a part of a design team targeting critical circuits common to all DRAM related memory products.,
121,121,Senior Product Designer,Enterpret,,We are building customer feedback intelligence for product teams.We are looking for a T-shaped founding designer who preferably excels in Information…,
122,122,Product Manager - Consumer Incentives Platform,GO-JEK,,Fasten your helmet and climb on board if you’re ready to be our Product Manager - an integral player in the Consumer Incentives team.Gojek is a Super App.,
123,123,Architect,Harman International,,What You Need : • 8+ years of experience supporting business intelligence systems in a BI and ETL Developer role.,
124,124,Manager - Product Development,Amex,,Own end-to-end AI/ML product capabilities and drive their developments with a team of world-class engineers and designers.We’ve Got Your Back.,
125,125,Interaction Designer (UX),Bosch Group,,Bosch Global Software Technologies Private Limited (BGSW) is a 100% owned subsidiary of Robert Bosch GmbH.We are one of the world’s leading global suppliers of…,
126,126,Software Engineer,McAfee Enterprise,,Partner with talented UX designers to create customer-focused user experiences.We will accelerate efforts to develop an integrated security platform powered by…,
127,127,Senior Product Designer- Analytics,Whatfix,,You have 5+ years of experience designing data- and intelligence-driven experiences for B2B SaaS products.Whatfix is disrupting the way Application Support and…,
128,128,Design Researcher,IBM,,"At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain.The role and your responsibilities.",
129,129,Engineering Manager (Core Development Team),WeInvest,,"Enormous data intelligence to be able to service and.Designers, program managers, testers, and other developers.Economics through a unique business model.",
130,130,Senior Product Designer,Sumo Logic,,5+ years work experience as a designer working on shippable products.We are looking for a passionate designer with experience in the Enterprise Software space…,
131,131,Project Manager,IBM,,"Working closely with architect, UX designers , Offering management and upline Execs in an agile product development environment.Are you craving to learn more?",
132,132,Process / Tool Analyst,EY,,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best…",
133,133,Senior Analog Mixed Signal Design Engineer,Cyient,,Shares design experiences with co-developers and/or other designers of the company.Our Semiconductor team works on cutting edge technology from AI led chip…,
134,134,Software Engineer - Meetings,Dialpad,,"You thrive in a team with different skill-sets like designers, product managers, and your peer engineers.Combining communication capabilities and artificial…",
135,135,Quality Business Intelligence / Analytics Developer,Continental AG,,"Design and program of innovative data verse / data models and implementation of functions for data selection, cleaning and processing.",
136,136,UX Designer M/F,Kayrros,,We are looking for a UX designer who will be able to deliver beautiful and high-quality user interfaces that delights users with seamless and simple user…,
137,137,Principal PM Manager – HDInsight,Microsoft,,"Work with cross-functional teams of designer, developers to deliver a seamless user-experience focused on customer delight.",
138,138,Business Object XI Consultant,Valuewing Consultancy Services,,"Should have hands on experience in Designer, Web intelligence and desktop Intelligence.Should have hands on experience in Business Objects Suites (5.X,6.x,XI…",
139,139,Full Stack Engineer,Kimberly-Clark,,We are a group of curious people and critical thinkers focused on solving the problems of the day and opportunities of the future through applied intelligence…,
140,140,newLogic Design Engineer - Pervasive,IBM,,"Develop and perform designer simulations.As a Logic designer, you will be responsible for planning design and development of the test infrastructure including…",
141,141,SMTS Firmware Engineering,Rambus,,"Interface and work closely with IP designers, integrators, hardware designers, and validation engineers.From data center and edge to artificial intelligence…",
142,142,SMOM Functional Engineer,Kimberly-Clark,,"Role will report to a Manager in IT Engineering & Applications.Role will not have any direct reports.Key Interfaces: Business Partner, Functional Engineer,…",
143,143,Principal Data Modeler,GO-JEK,,"Experience with data architecture, data integration/ETL, data warehousing, and business intelligence deployed in a complex environment.",
144,144,newUX-UI developer,IBM,,"Work closely with user experience designers to create stunning UI designs.Software Developers at IBM are the backbone of our strategic initiatives to design,…",
145,145,Electrical Engineer,InfinityX Innovations Private Limited,,"Interdisciplinary team: We are building a small group of engineers, developers and designers, and their overall competencies would include but are not limited…",
146,146,"newSenior Engineer/DevOps (Bangalore, India)",ZS Associates,,"ZS's Digital & Technology group helps companies define and execute their technology strategy by designing, building, and operating their business intelligence …",
147,147,Senior Product Manager,"Sense Talent Labs, Inc.",,"You will be leading a team of product managers and designers and work closely with engineering, marketing, customer success (and more) to lead the development…",
148,148,Data Engineer,IBM,,"Proven track record as an ETL/Visualization expert, leading development teams to deliver successful business intelligence solutions with complex data sources.",
149,149,Senior Verification Engineer,NVIDIA,,Complex failure debug: Isolating design related failure by systematically identifying and eliminating issues related to testbench/programming sequence in close…,
150,0,Learning Designer - Hybrid Schedule (Office of Public Health...,Boston Public Health Commission,,"OPHP envisions a resilient Boston through healthy, informed, and connected communities that are supported every day and during emergencies by strong, integrated…",
151,1,newSr. UX Designer,Amazon.com Services LLC,,"5+ years of experience as a user experience designer, product designer, interaction designer, or similar role.",
152,2,Junior UI/UX Designer ›,GROUPVISUAL.IO,,Excellent interpersonal skills and high emotional intelligence (EQ).This is a great position for a detail-oriented designer who is passionate about creating…,
153,3,"Amazon Robotics - Texture Artist Co-op - July-December 2022,...",Amazon.com Services LLC,,"1+ years of design experience.Enrolled in a degree program in Computer Science, Visual Effects, Graphic Art, Animation, or related field with a graduation date…",
154,4,newMarketplace Intelligence Analytics & Data Quality Manager,Deloitte,,"Collaborate effectively with researchers, developers, designers, and other analysts on the Marketplace Intelligence team.Active contributor to project teams.",
155,5,newConversational AI Lead,Deloitte,,"Work with engagement leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow consultants to…",
156,6,newMarketing Graphic Designer,Overjet,,Our cutting-edge artificial intelligence technology encodes dentist-level training and analysis into scalable software tools.,
157,7,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…",
158,8,"Senior Product Designer, Data Intelligence",Klaviyo,,Ability to mentor junior designers and to give creative direction to bring out their best work.The designers in the Intelligence pillar craft products and…,
159,9,newSmart Factory Experience Design and Delivery Consultant Nati...,Deloitte,,"For the purposes of the Deloitte Smart Factory experience, technologies may include robotics, analytics, and artificial intelligence, user interface design,…",
160,10,"Deloitte Consulting - Designer, Sales Excellence, Hybrid Bus...",Deloitte,,"In this role, this individual will develop presentation and interactive deliverables in support of Hybrid Business GTM sales and pursuit collateral.",
161,11,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…",
162,12,Automation Software Engineer-Location Open,Deloitte,,"Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence…",
163,13,"Associate, Data Engineer",Pfizer,,Contribute to conversations with User Experience (UX) designers to align visualizations to complex product data.Travel Requirements are project based.,
164,14,new2022 Graduates - Career Development Program,Jerry,,"Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all…",
165,15,new2022 Graduates - Career Development Program,Jerry,,"Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all…",
166,16,"Manager, Data Analytics and Insights",Fidelity Investments,,PowerBI modeling; Clear examples as a designer and content creator.This work will require transforming data sources into business intelligence and actionable…,
167,17,Designer Sales Manager,COSENTINO,,Participating in interior designers´ fairs and relevant tradeshows.Develop new project opportunities through personal sales efforts and professional…,
168,18,"Manager, Product Development – Shark Haircare",SharkNinja,,"Develop user-relevant design targets for product performance and user experience (human factors, touchpoints, KPIs, and Consumer Satisfaction Indicators) – and…",
169,19,Writer - IBM Research,IBM,,"The writer bridges the gap between science and story.Your writing will span every facet of the IBM Research footprint, including web content, video scripts,…",
170,20,DevOps Engineer,Deloitte,,"You will maintain an internal cloud hosting environment for containerized Python microservices, multiple databases, high-throughput simulation outputs, and…",
171,21,User Experience Designer,Deloitte,,"As a User Experience Designer in Deloitte's Strategy & Analytics Hybrid Solutions & Incubation (HS&I) practice, you will play a critical role in designing the…",
172,22,People Analytics Analyst,MFS Investment Management,,Serve as translator between data designers and users.The People Analytics Analyst provides analysis and insights to HR and business units to help make data…,
173,23,Senior Writer,Pearson,,"Collaborative approach: The ability to diplomatically, convincingly, and credibly navigate internal relationships and stakeholders; intellectual rigor and…",
174,24,User Experience (UX) Designer,Dynatrace,,"Dynatrace provides software intelligence to simplify cloud complexity and accelerate digital transformation.Define and create journeys, wireframes, storyboards…",
175,25,newSoftware Engineer 2,Microsoft,,"Work closely with program managers and designers to implement, unit test and ship new features.We also focus on the AI/ML space, including intelligence for the…",
176,26,UX DESIGNER,Department of Education,,"The Educational Specialist C - UX Designer will be a member of both the P20W Data Hub team and the IT team focused on improving data access and analytics,…",
177,27,Data Analyst,GSN Games,,"You’ll use problem-solving skills, sound logic, and data tools like SQL/Bigquery/Python, in order to identify and evaluate trends, determine real value of team…",
178,28,ESG User Experience Designer,S&P Global,,"Grade ( relevant for internal applicants only ): 10.You will provide product design, prototyping, research and facilitation services for Sustainable1 desktop…",
179,29,UX Product Designer - IR Intelligence,"Nasdaq, Inc.",,Design wireframes & mockups for desktop and mobile platforms.Build and quickly iterate interactive prototypes in response to client feedback.,
180,30,newSoftware Engineer,Geologics Corporation,,"In this job you will work with a team of SW Architects, Product Managers, UX designers, Full Stack SW developers, Platform Engineers and Cyber Security…",
181,31,UX Designer,Linus Health,,"Collaborate closely and constructively with engineers, product management, ux researchers, and users to craft beautiful, functional and effective user…",
182,32,Data Warehouse/ETL Solution Architect - Location Open,Deloitte,,Must be able to maintain an Enterprise Data Warehouse (EDW) in support of business intelligence analytics.Developing inbound and outbound interfaces between…,
183,33,Sr. Product Designer (Remote),Omnicell,,Can articulate design principles & decisions to non-designers.Provide guidance and mentorship to peers and junior designers.,
184,34,Data Warehousing/ETL Consultant - Location Open,Deloitte,,Must be able to maintain an Enterprise Data Warehouse (EDW) in support of business intelligence analytics.Developing inbound and outbound interfaces between…,
185,35,"Senior Client Partner, Technology",3Pillar Global,,"Continuously develop your personal network of industry contacts and influencers as a source for market intelligence, referrals and prospects.",
186,36,Sr. Robotics Business Intelligence Engineer,Amazon.com Services LLC,,"We collaborate with designers, software and hardware engineers, and operations teams to understand product requirements, make feature trade-offs, design, and…",
187,37,"Deloitte Consulting - Writer, Sales Excellence, Hybrid Busin...",Deloitte,,"Collaborate with graphic designers, project managers, pursuit coaches, and client service teams to build creative and innovative material.",
188,38,Product Marketing Associate,Aiforia Technologies Plc,,"In-depth market research, intelligence and competitor evaluation for Education products.Very strong written communication skills; including the ability to…",
189,39,Real World Evidence Consultant,Deloitte,,"Experience with agile business intelligence / analytics tools such as Tableau, Qlik, Spotfire, R Shiny.The ConvergeHEALTH Miner™ suite helps life science…",
190,40,Product Developer - Shark,SharkNinja,,"Develop user-relevant design targets for product performance and user experience (human factors, touchpoints, KPIs, and Consumer Satisfaction Indicators) – and…",
