,Unnamed: 0,title,company,location,salary,summary
50,50,Test Analyst,Cardinal Health,"Bengaluru, Karnataka",,"Experience in RPA, cloud automation and conversational AI solutions.Preferred Healthcare industry experience with hospitals, providers, and/or other healthcare…"
51,51,Full-Stack Developer,sybill,"Remote in Bengaluru, Karnataka",,Bachelor's degree in Computer Science or related field.Master's degree in Computer Sciences or related field.
52,52,"Team Lead – Safety Data Sciences, Global Patient Safety",Eli Lilly,"Bengaluru, Karnataka",,Provide standard or custom validated reports for use in audits and inspections.Explore opportunities to create self-service/enhanced reporting options for GPS…
53,53,Member of Technical Staff - Backend,Armorblox,"Bengaluru, Karnataka",,"Proficiency in one or more of the following languages - Go, Python, Java, C/C++.Deep understanding of micro services architecture, distributed systems and…"
54,54,Digital_Manager_Data Science_Bangalore,PwC,"Bengaluru, Karnataka",,"Desired Languages (If blank, desired languages not specified).Analyse complex ideas or proposals and build a range of meaningful recommendations."
55,55,Lead Data Scientist,Oracle,"Bengaluru, Karnataka",,8 or more years of software engineering or related experience.BS or MS degree or equivalent experience relevant to functional area.
56,56,newDirector of Product Management – Vertical Solutions,Uniphore,"Bengaluru, Karnataka",,"In this role, you will be responsible for Product Management of our vertical packs, for a specific Product, or major Product Component or a Product Line family."
57,57,newAI Scientist - SAP Procurement Data Science Team,SAP,"Bengaluru, Karnataka",,"Experience or coursework should involve the following: data mining, statistical modeling, or machine learning techniques and frameworks including, but not…"
58,58,Software Engineer,Motorola Solutions,"Bengaluru, Karnataka",,Bachelor’s degree in Computer Science (or related field) with 3+ years of relevant experience or a Master’s degree in Computer Science (or related field) with 2…
59,59,Senior Sales Compensation Analyst,ThoughtSpot,"Bengaluru, Karnataka",,"Excellent communication, customer service and problem-solving skills.Troubleshoot and resolve calculation and/or data errors within CaptivateIQ."
60,60,Solutions Architect,EY,"Bengaluru, Karnataka",,Strong command on verbal and written English language.12+yrs of experience in a similar profile with strong service delivery background.
61,61,Data & Analytics Tech - Snowflake - Manager,PwC,"Bengaluru, Karnataka",,"Desired Languages (If blank, desired languages not specified).Education (if blank, degree and/or field of study not specified)."
62,62,Associate Manager-Insights and Intelligence,Accenture,"Bengaluru, Karnataka",,You will generally interact with peers and/or management levels with clients or internal stakeholders.You would be managing medium-small sized teams and/or…
63,63,Software Development Engineer _R&D,Agara Labs,"Bengaluru, Karnataka",,"B.Tech in Computer Science or equivalent work experience.Familiarity with cloud service platforms (AWS / GCP), and understanding of web applications."
64,64,NLP Developer,Gnani Innovations,"Bengaluru, Karnataka",,Design and develop natural language processing systems.Use effective text representations to transform natural language into useful features.
65,65,Front-end developer,sybill,"Bengaluru, Karnataka",,"We're developing the next-generation real-time conversational intelligence platform, working at the cutting edge of remote meetings, and human-centered AI."
66,66,Senior Analyst / Analyst - Data Scientist - Bengaluru,Deloitte,"Bengaluru, Karnataka",,"Work with public cloud provider and their related technologies for machine learning, cognitive services e.g. (AWS Sage maker, Azure cognitive services etc.)."
67,67,Engineering Manager,Purplegrids,"Bengaluru, Karnataka",,"Familiarity with chatbots, voice enabled devices, or other conversational channels.Experience with service oriented architecture, REST based services and…"
68,68,Data Analytics and Management RFA - Sr Manager,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Work with team members to build analytics solutions and present them to…
69,69,newSenior Quality Assurance Engineer,Dialpad,"Remote in Bengaluru, Karnataka",,"Working knowledge of VoIP, Telecommunication Systems, and Communication technologies including WebRTC or SIP-based service would be a definite plus."
70,70,newMachine Learning Engineer 2,PayPal,"Bengaluru, Karnataka",,Bachelors/Masters or higher degree in Computer Science or related technical field.Employees may request reasonable accommodation based on a medical condition…
71,71,Technical Support Engineer,Digital.ai,"Bengaluru, Karnataka",,"Scripting language experience (Python or Perl, etc.).3+ years working in one or more of these roles: software development, technical support or sales…"
72,72,newImplementation Engineer - Applications,"Tact.ai Technologies, Inc.","Remote in Bengaluru, Karnataka",,5+ years enterprise consulting or development experience for or in an enterprise.Proficiency in server side languages like Java/.
73,73,"Software Engineer, iOS Mobile Apps",Google,"Bengaluru, Karnataka",,Experience in software development using one or more general purpose programming languages.Ability and interest to learn other coding languages as needed.
74,74,newDevelopment Manager - SAP AI,SAP,"Bengaluru, Karnataka",,Regular Full Time Engineering Bachelor’s degree (or equivalent) or master’s degree (or equivalent).Experience with building micro service applications on SAP…
75,75,Research Manager - NLP & Machine Learning,Uniphore,"Bengaluru, Karnataka",,"Broad mastery of natural language processing techniques such as neural networks (RNN / DNN / LSTM), language models, attention, and transformers."
76,76,Sr. Product Manager-1,PayPal,"Bengaluru, Karnataka",,Certified Agile Product Owner or scrum training.Bachelor's degree or equivalent practical experience.Experience with Google Dialogflow or other Conversational…
77,77,"SDE - Playback Optimization, Playback optimization team",ADCI - Karnataka,"Bengaluru, Karnataka",,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design."
78,78,User Experience Developer 4-ProdDev,Oracle,"Bengaluru, Karnataka",,BS or MS degree or equivalent experience relevant to functional area.You will actively mentor less experienced designers.
79,79,R&D Engineer,Bridgetree,"Bengaluru, Karnataka",,"2 year of hands on experience in programming languages.Knowledge of data structures, algorithms, OS and web services concepts."
80,80,Quality Engineer II,Khoros,"Bengaluru, Karnataka",,"Bachelor’s degree in Computer Science, Information Technology or related field.Khoros, formerly known as Lithium + Spredfast, is the leading customer…"
81,81,Java Developer - Conversational AI,SAP,"Bengaluru, Karnataka",,"By being part of the conversational AI team, you get to work on building a platform providing natural language processing capabilities paired with best in class…"
82,82,Senior Associate - Cloud & Digital Strategy,PwC,"Bengaluru, Karnataka",,"Desired Languages (If blank, desired languages not specified).Education (if blank, degree and/or field of study not specified)."
83,83,UX Copywriter,Vahak,"Bengaluru, Karnataka",,Prior experience in writing content for mobile apps or websites.Collaborate with designers and product managers throughout the design and development process.
84,84,Data Scientist,Microsoft,"Bengaluru, Karnataka",,"Applied research experience in at least Machine Learning, or Deep Learning or Information Retrieval or Data Analytics and Business Intelligence tools mainly…"
85,85,D&AM- Big Data-A/ASA/SA,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Build business and industry knowledge in one or more industries.
86,86,Research Scientist I,Philips,"Hybrid remote in Bengaluru, Karnataka",,"Experience with one or more analytic software tools or languages like Python, java, R.Build Natural Language Processing applications by using features…"
87,87,Member of Technical Staff- Infrastructure and Development,ThoughtSpot,"Bengaluru, Karnataka",,"Degree in CS or related required.1+ years experience with the major public cloud platform, services, APIs' (AWS,GCP,Azure).Bonus points for experience with:"
88,88,ACN - Applied Intelligence - C4DI - Change Management - 07,Accenture,"Bengaluru, Karnataka",,Support AI Learning Institute activitiesandlt;br or andgt; • Develop solutions applying advanced Data Analytics techniques including but not restricted to…
89,89,USI R&FA | EH |D&AM- RDM-LSA/SSA,Deloitte,"Bengaluru, Karnataka",,Certification in SAS or SQL Server or Other relational databases or big data platforms.Work with team members to build analytics solutions and present them to…
90,90,Senior NLP Scientist,Uniphore,"Bengaluru, Karnataka",,Experience applying NLP to a language other than English (even better if you have worked with a low resource or non-Indo-European language).
91,91,Principal UX Designer,Oracle,"Bengaluru, Karnataka",,"BS or MS degree or equivalent experience relevant to functional area7+ years digital design in the bank, Fintech or Cloud software development."
92,92,Risk Assurance_Digital Risk Solutions Technology_Associate_B...,PwC,"Bengaluru, Karnataka",,"Minimum of one programming language experience - C#, javascripts or python.Desired Languages (If blank, desired languages not specified)."
93,93,Principal Front-End Developer,Oracle,"Bengaluru, Karnataka",,BS or MS degree or equivalent experience relevant to functional area.Bachelor’s Degree in Computer Science or related field.
94,94,Program Manager II,ADCI - Karnataka,"Bengaluru, Karnataka",,Strong service mindset and ability to use metrics to measure service levels.3.3+ years experience in program or project management.
95,95,C11 - Model/Anlys/Valid Intmd Anlyst,Citi,"Bengaluru, Karnataka",,4+ years’ analytics experience in financial services or related industries with minimum 2 years in Artificial Intelligence (AI) / Machine Learning (ML) area.
96,96,Director - Data Science and Analytics,Fidelity Investments,"Bengaluru, Karnataka",,"Computational Statistics, Operations Research, Machine Learning, or Business or related.Fidelity is seeking a very senior level data scientist for the…"
97,97,Machine Learning Engineer,umlaut AG,"Bengaluru, Karnataka",,4+ years of experience in software development for high-tech products or services.Highly skilled in Python and preferably in one or more programming languages…
98,98,Research Software Engineer,IBM,"Bengaluru, Karnataka",,"Top tier institute CS graduate (MS + experience or PhD).Whether you are working on projects internally or for a client, software development is critical to the…"
99,99,Senior Product Designer- Enterprise,Whatfix,"Bengaluru, Karnataka",,Experience designing chat and conversational experiences is also a huge plus.You have 5+ years of experience working in the B2B or Enterprise SaaS space.
100,100,Global Sales Instructional Designer,ServiceNow,"Temporarily Remote in Bengaluru, Karnataka",,"BS/BA or equivalent experience required, Instructional Design degree or Training Development certificate.Complete fluency in American English grammar, syntax,…"
101,101,Senior Software Engineer (100% Remote),Bold Business,"Remote in Bengaluru, Karnataka",,"Have led small teams or pods, either in a technical or managerial capacity.Healthcare, insurance or financial technology experience."
102,102,TC-EA-Oracle developer- Senior,EY,"Bengaluru, Karnataka",,Willingness to travel 50% or more.MBA and/or B.tech) preferred.Must have working knowledge of designing a conversational bot using Oracle Digital Assistant.
103,103,Product manager - App merchandising,Microsoft,"Bengaluru, Karnataka",,Bachelor’s degree in Computer Science (or equivalent experience).Demonstrated ability to build and land digital storefront management experience in a B2B or a…
104,104,Lead Data Scientist,Freshworks,"Bengaluru, Karnataka",,"A Bachelor’s degree or a higher degree in Computer Science, Statistics, Mathematics, or a related field.Natural language processing, statistical ML techniques,…"
105,105,Data & Analytics Tech - Azure - Manager,PwC,"Bengaluru, Karnataka",,"Desired Languages (If blank, desired languages not specified).Education (if blank, degree and/or field of study not specified)."
106,106,Full-Stack Software Engineer,CONVERSENOW TECHNOLOGIES INC,"Bengaluru, Karnataka",,Knowledge of the Golang language is a plus.Work with the product owner and architect to identify the best third-party solutions or libraries as and when…
107,107,Frontend Engineer,CONVERSENOW TECHNOLOGIES INC,"Bengaluru, Karnataka",,Familiar with RESTful APIs to connect applications to back-end services.This is an ideal position for an individual with the desire to work in a highly…
108,108,Lead analyst -AI Architect,CGI Inc,"Bengaluru, Karnataka",,"Active MQ), Hibernate or ORM technology.Explore and suggest strategic technical solutions with proven and latest conversational AI tools and technologies."
109,109,"SaT_DnA- AI, ML_Assistant Director",EY,"Bengaluru, Karnataka",,"Work on and manage large to mid-size projects, and ensure smooth service delivery on assigned products, engagements and/or geographies."
110,110,Senior Data Engineer,Schneider Electric,"Bengaluru, Karnataka",,"Fluency in programming skills such as Python, R, or other equivalent languages.You should have Bachelor’s or Master’s degree in Computer Science, Statistics or…"
111,111,Lead Assistant Manager,EXL,"Bengaluru, Karnataka",,Rich experience with Customer research and or content.Minimum 5-7 years of working experience on various customer interactions to provide contextual and…
112,112,Software Development Engineer 3- C++,[24]7.ai,"Bengaluru, Karnataka",,"Good to have experience in scripting languages like Python or Perl.Powered by conversational AI technologies that support natural, intent-based interactions,…"
113,113,RPA Developer,EY,"Bengaluru, Karnataka",,Strong command on verbal and written English language.4+yrs of experience in a similar profile with strong service delivery background.
114,114,Total Rewards Analyst,Smarsh India,"Bengaluru, Karnataka",,Demonstrate excellent customer service through using effective communication skills in written and verbal interactions.
115,115,Manager-Insights & Intelligence,Accenture,"Bengaluru, Karnataka",,"You will be managing medium - large sized teams and/or work efforts at a client or within Accenture.In this role, you will be working on the interdisciplinary…"
116,116,Data Scientist - Lead,sharechat,"Bengaluru, Karnataka",,"BTech, MS degree or Ph.D degree in Computer Science or a related discipline.Apply state of the art in the relevant research domains to make significant…"
117,117,Senior Manager-Insights and Intelligence,Accenture,"Bengaluru, Karnataka",,You will manage large teams and/or work efforts at a client or within Accenture.You will have to work in calibration with subordinate teams and senior…
118,118,AI Engineering Manager,Schneider Electric,"Bengaluru, Karnataka",,"Exposure to public cloud example AWS, Azure or Google is must.Be responsible for the successful execution of one or more AI powered applications using agile…"
119,119,Research Scientist - Machine Learning / Research Scientist -...,GE Corporate,"Bengaluru, Karnataka",,"Minimum of Master’s degree in Industrial, Electrical, Mechanical or related Engineering field with specialization in Operations Research / Machine Learning/…"
120,120,Data Engineer (ERP SME)- Associate - PwC Labs - Bangalore,PwC,"Bengaluru, Karnataka",,"Demonstrates thorough knowledge as a consultant, auditor or business process specialist within a professional services firm or large enterprise, including…"
121,121,"Technical Lead, Data Steward",Colt Technology Services,"Bengaluru, Karnataka",,"Colt information security, business continuity, quality and other ISO or equivalent policies/ industry standards and discharge duties against them as…"
122,122,Applied Scientist II,ADCI - BLR 14 SEZ,"Bengaluru, Karnataka",,"Experience programming in Java, C++, Python or related language.Your work will directly impact our customers in the form of products and services that make use…"
123,123,"Manager, Software Development, Alexa Artificial Intelligence",ADCI - Karnataka,"Bengaluru, Karnataka",,"Experience working on natural language processing, or machine learning based systems.Lead your team to evolve and scale our service architecture."
124,124,"newDirector Product Engineering - Data Science - Bangalore, KA",Optum,"Bengaluru, Karnataka",,"Experience on Kubernetes, Micro-services, Message Queue and CICD pipeline.Strong experience in designing architecture and deploying products on cloud platforms…"
125,125,Senior Solutions Architect - Contact Center,Uniphore,"Bengaluru, Karnataka",,"Deep understanding of customer service methodologies and best practices for a service organization, focusing on call centers/contact center key metrics."
126,126,Team Lead/Consultant-Artificial Intelligence Innovation,Accenture,"Bengaluru, Karnataka",,"You may interact with peers and/or management levels at a client and/or within Accenture.In this role, you will be working on the interdisciplinary field about…"
127,127,CCB Associate Model Monitoring,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",,"Past experience in developing or validating or monitoring AI/ML and/or Econometric models (hands-on experience with AI/ML models (Xgboost, Neural Network,…"
128,128,Salesforce Developer - Experience Cloud,ThoughtSpot,"Bengaluru, Karnataka",,"BA/BS degree in Computer Science, similar technical field of study, or equivalent practical experience.The Salesforce Operations team enables the overall GTM…"
129,129,Senior Data Scientist,Michael Page,"Bengaluru, Karnataka",,"Knowledge of classical machine learning techniques and knowledge in at least one of (especially aided by deep learning) : computer vision, natural language…"
130,130,Applied Scientist I,ADSIN - Karnataka,"Bengaluru, Karnataka",,"Experience in building speech recognition, machine translation and natural language processing systems (e.g., commercial speech products or government speech…"
131,131,"Software Development Engineer, Amazon Lex",ADCI - Karnataka,"Bengaluru, Karnataka",,Bachelor's degree in Computer Science or equivalent Programming in one or more object-oriented languages like Java/Python/C#/Ruby/Objective C/C++.
132,132,"CRL2.0 EY GDS - IA- Data Scientist (Python, AI / ML / NLP)",EY,"Bengaluru, Karnataka",,Js/Java or web technologies will be added advantage.Working knowledge in excel and macrosknowledge of any automation process or techniques.
133,133,Cognitive Automation Engineer,Bosch Group,"Bengaluru, Karnataka",,"Bachelor’s in Computer Science, Information Systems, or equivalent education or work experience.Research and develop the NLP techniques to categorize the text…"
134,134,Principal - Data Science,Fidelity Investments,"Bengaluru, Karnataka",,"From a technical perspective, experience with natural language processing, image processing, machine learning, deep learning, predictive and prescriptive…"
135,135,Application Engineering Manager,ADCI - Karnataka,"Bengaluru, Karnataka",,"Experience in SQL, Python or similar languages.Experience in scripting languages like Python.Experience with AWS services such as S3 and RDS."
136,136,Production Engineer,ThoughtSpot,"Bengaluru, Karnataka",,"B.Tech. degree in Computer Science or equivalent would be an advantage.Develop tools and frameworks for distributed systems, services and applications."
137,137,Front End Developer / Immediate Joiner / Bangalore,Mount Talent Consulting,"Bengaluru, Karnataka",,Working with the UX designers and converting UX design to technical implementation.Understanding of NodeJS and any of the backend programming languages is a…
138,138,Data Scientist,Comviva,"Bengaluru, Karnataka",,"We enable service provides to enhance customer experience, rationalize costs, and accelerate revenue growth.Bangalore, Karnataka - India | Posted - 03/28/22."
139,139,Principal Program Manager,Microsoft,"Bengaluru, Karnataka",,MBA or advanced technical degree such as MS or PhD.BS degree in computer Science or related technical field.Understand current user needs by doing opportunity…
140,140,"Software Dev Engineer II, Alexa AI",ADCI - Karnataka,"Bengaluru, Karnataka",,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented design.Experience in web/front-end development."
141,141,Sr AI Engineering Manager,Schneider Electric,"Bengaluru, Karnataka",,"Exposure to public cloud example AWS, Azure or Google is must.Be responsible for the successful execution of one or more AI powered applications using agile…"
142,142,"Manager Application Engineering, AWS Vector",ADCI - Karnataka,"Bengaluru, Karnataka",,"Experience in SQL, Python or similar languages.Experience in scripting languages like Python.Experience with AWS services such as S3 and RDS."
143,143,IBM WATSON Architect,Fospe,"Bengaluru, Karnataka",,"Design and implement use case leveraging IBM Watson Natural language processing and text analytics.Strong programming skills in a language such as Java, Python…"
144,144,newSenior AI Scientist - SAP Procurement Data Science Team,SAP,"Bengaluru, Karnataka",,"3+ years of experience coding in Python or R; Java or C++ nice to have.Experience or coursework should involve the following: data mining, statistical modeling…"
145,145,Software Developer: Full-Stack Engineer (Experienced),DevRev,"Bengaluru, Karnataka",,"Bachelor's or Master's degree in Computer Science or related technical field, or equivalent practical experience."
146,146,Dotnet Fullstack Engineer,Acqueon Technologies,"Bengaluru, Karnataka",,Implement Proof of Concept to validate concepts or new technology/features prior to product implementation.Experience in Security Domain or Security Tools for…
147,147,Senior Java Developer - Conversational AI,SAP,"Bengaluru, Karnataka",,"By being part of the conversational AI team, you will get to work on building a platform providing natural language processing capabilities paired with best-in…"
148,148,Software Developer (IC3) - Career Relaunch - Oracle Cloud In...,Oracle,"Bengaluru, Karnataka",,"BS or MS in Computer Science, or equivalent.BS or MS degree or equivalent experience relevant to functional area.Automation must be part of your DNA."
149,149,Software Developer: Mobile (iOS),DevRev,"Bengaluru, Karnataka",,Software development experience coding in a general-purpose programming language.Bachelor's in Computer Science or related technical field/equivalent practical…
150,0,Conversational AI Lead,Deloitte,"Boston, MA 02116 (Back Bay area)",,Demonstrable experience designing and/or deploying voice and/or text-based conversational flows for virtual agents or virtual assistants.
151,1,Senior Product Designer,Drift,"Remote in Boston, MA 02116",,Contribute new controls or design improvements to our design system (Tide) to help ensure consistency across products.
152,2,Natural Language Processing (NLP) Scientist,Philips,"Hybrid remote in Cambridge, MA 02141",,Hands-on experience in developing solutions involving Natural Language Processing and demonstrated through scientific publications and/or successful product…
153,3,Language Engineer,Amazon.com Services LLC,"Cambridge, MA",,"Master's degree or higher in a relevant field (linguistics or language).Experience programming in Python, or another scripting language."
154,4,"Program Manager II, Alexa-AI Natural Understanding",Amazon.com Services LLC,"Cambridge, MA+1 location",,2+ years experience in program or project management.Critically evaluate current processes to develop self service mechanisms that achieve scale in beta…
155,5,"Program Manager Alexa Natural Language Understanding, OMEGA",Amazon.com Services LLC,"Cambridge, MA",,Address any customer service or technical questions from users and develop solutions that reduce the number of inquiries.
156,6,"Research Scientist, Natural Language Understanding (NLU)",Rakuten Americas,"Boston, MA 02110 (Central area)+2 locations",,"Create core components for our services by conducting research on hard technical problems in the areas of natural language understanding (NLU), natural language…"
157,7,Lead UX Content Designer - US Remote,Vista,"Remote in Waltham, MA 02451",,"Advocate for using high-frequency, plain language to build conversational experiences and intuitive interfaces.Excellent spoken and written English."
